1	16	0	1	0	1	0	0	0	9,84	14,395	81	0	0	1	0,017213344	0,999851839	1
2	40	0	1	0	1	0	0	0	9,02	13,635	80	0	0,258819045	0,965925826	0,017213344	0,999851839	1
3	32	0	1	0	1	0	0	0	9,02	13,635	80	0	0,5	0,866025404	0,017213344	0,999851839	1
4	13	0	1	0	1	0	0	0	9,84	14,395	75	0	0,707106781	0,707106781	0,017213344	0,999851839	1
5	1	0	1	0	1	0	0	0	9,84	14,395	75	0	0,866025404	0,5	0,017213344	0,999851839	1
6	1	0	1	0	0	1	0	0	9,84	12,88	75	6,0032	0,965925826	0,258819045	0,017213344	0,999851839	1
7	2	0	1	0	1	0	0	0	9,02	13,635	80	0	1	6,12574E-17	0,017213344	0,999851839	1
8	3	0	1	0	1	0	0	0	8,2	12,88	86	0	0,965925826	-0,258819045	0,017213344	0,999851839	1
9	8	0	1	0	1	0	0	0	9,84	14,395	75	0	0,866025404	-0,5	0,017213344	0,999851839	1
10	14	0	1	0	1	0	0	0	13,12	17,425	76	0	0,707106781	-0,707106781	0,017213344	0,999851839	1
11	36	0	1	0	1	0	0	0	15,58	19,695	76	16,9979	0,5	-0,866025404	0,017213344	0,999851839	1
12	56	0	1	0	1	0	0	0	14,76	16,665	81	19,0012	0,258819045	-0,965925826	0,017213344	0,999851839	1
13	84	0	1	0	1	0	0	0	17,22	21,21	77	19,0012	1,22515E-16	-1	0,017213344	0,999851839	1
14	94	0	1	0	0	1	0	0	18,86	22,725	72	19,9995	-0,258819045	-0,965925826	0,017213344	0,999851839	1
15	106	0	1	0	0	1	0	0	18,86	22,725	72	19,0012	-0,5	-0,866025404	0,017213344	0,999851839	1
16	110	0	1	0	0	1	0	0	18,04	21,97	77	19,9995	-0,707106781	-0,707106781	0,017213344	0,999851839	1
17	93	0	1	0	0	1	0	0	17,22	21,21	82	19,9995	-0,866025404	-0,5	0,017213344	0,999851839	1
18	67	0	1	0	0	1	0	0	18,04	21,97	82	19,0012	-0,965925826	-0,258819045	0,017213344	0,999851839	1
19	35	0	1	0	0	0	1	0	17,22	21,21	88	16,9979	-1	-1,83772E-16	0,017213344	0,999851839	1
20	37	0	1	0	0	0	1	0	17,22	21,21	88	16,9979	-0,965925826	0,258819045	0,017213344	0,999851839	1
21	36	0	1	0	0	1	0	0	16,4	20,455	87	16,9979	-0,866025404	0,5	0,017213344	0,999851839	1
22	34	0	1	0	0	1	0	0	16,4	20,455	87	12,998	-0,707106781	0,707106781	0,017213344	0,999851839	1
23	28	0	1	0	0	1	0	0	16,4	20,455	94	15,0013	-0,5	0,866025404	0,017213344	0,999851839	1
24	39	0	1	0	0	1	0	0	18,86	22,725	88	19,9995	-0,258819045	0,965925826	0,017213344	0,999851839	1
25	17	0	1	0	0	1	0	0	18,86	22,725	88	19,9995	0	1	0,034421588	0,999407402	1
26	17	0	1	0	0	1	0	0	18,04	21,97	94	16,9979	0,258819045	0,965925826	0,034421588	0,999407402	1
27	9	0	1	0	0	1	0	0	17,22	21,21	100	19,0012	0,5	0,866025404	0,034421588	0,999407402	1
28	6	0	1	0	0	1	0	0	18,86	22,725	94	12,998	0,707106781	0,707106781	0,034421588	0,999407402	1
29	3	0	1	0	0	1	0	0	18,86	22,725	94	12,998	0,866025404	0,5	0,034421588	0,999407402	1
30	2	0	1	0	0	0	1	0	17,22	21,21	77	19,9995	1	6,12574E-17	0,034421588	0,999407402	1
31	1	0	1	0	0	1	0	0	16,4	20,455	76	12,998	0,965925826	-0,258819045	0,034421588	0,999407402	1
32	8	0	1	0	0	0	1	0	16,4	20,455	71	15,0013	0,866025404	-0,5	0,034421588	0,999407402	1
33	20	0	1	0	0	1	0	0	15,58	19,695	76	15,0013	0,707106781	-0,707106781	0,034421588	0,999407402	1
34	53	0	1	0	0	1	0	0	14,76	17,425	81	15,0013	0,5	-0,866025404	0,034421588	0,999407402	1
35	70	0	1	0	0	1	0	0	14,76	16,665	71	16,9979	0,258819045	-0,965925826	0,034421588	0,999407402	1
36	93	0	1	0	0	1	0	0	14,76	16,665	66	19,9995	1,22515E-16	-1	0,034421588	0,999407402	1
37	75	0	1	0	0	1	0	0	14,76	17,425	66	8,9981	-0,258819045	-0,965925826	0,034421588	0,999407402	1
38	59	0	1	0	0	0	1	0	14,76	17,425	76	12,998	-0,5	-0,866025404	0,034421588	0,999407402	1
39	74	0	1	0	0	0	1	0	13,94	16,665	81	11,0014	-0,707106781	-0,707106781	0,034421588	0,999407402	1
40	76	0	1	0	0	0	1	0	13,94	16,665	71	11,0014	-0,866025404	-0,5	0,034421588	0,999407402	1
41	65	0	1	0	1	0	0	0	13,94	16,665	57	12,998	-0,965925826	-0,258819045	0,034421588	0,999407402	1
42	53	0	1	0	0	1	0	0	14,76	16,665	46	22,0028	-1	-1,83772E-16	0,034421588	0,999407402	1
43	30	0	1	0	1	0	0	0	13,12	14,395	42	30,0026	-0,965925826	0,258819045	0,034421588	0,999407402	1
44	22	0	1	0	1	0	0	0	12,3	13,635	39	23,9994	-0,866025404	0,5	0,034421588	0,999407402	1
45	31	0	1	0	1	0	0	0	10,66	11,365	44	22,0028	-0,707106781	0,707106781	0,034421588	0,999407402	1
46	9	0	1	0	1	0	0	0	9,84	10,605	44	19,9995	-0,5	0,866025404	0,034421588	0,999407402	1
47	8	0	1	0	1	0	0	0	9,02	11,365	47	11,0014	-0,258819045	0,965925826	0,034421588	0,999407402	1
48	5	0	0	0	1	0	0	0	9,02	9,85	44	23,9994	0	1	0,051619632	0,998666818	1
49	2	0	0	0	1	0	0	0	8,2	8,335	44	27,9993	0,258819045	0,965925826	0,051619632	0,998666818	1
50	1	0	0	0	1	0	0	0	6,56	6,82	47	26,0027	0,866025404	0,5	0,051619632	0,998666818	1
51	3	0	0	0	1	0	0	0	6,56	6,82	47	19,0012	0,965925826	0,258819045	0,051619632	0,998666818	1
52	30	0	0	0	1	0	0	0	5,74	5,305	50	26,0027	1	6,12574E-17	0,051619632	0,998666818	1
53	64	0	0	0	1	0	0	0	5,74	6,82	50	12,998	0,965925826	-0,258819045	0,051619632	0,998666818	1
